# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# NMod      log(t)         H/He  log(L/Ls)  Log(Teff)    log(Tc)  log(rhoc)      Tmax     MTmax     M-cc      M-Hec      M-ce        L-pp       L-cno     L-3alfa       L-gra     He_sup   log(Tce)   Rce/Rtot      R/Rsun     log(g)     M/Msun        mdot     Lacc/L    log(tkh)   log(tacc)  t_conv_gl.  Mix.Len.
# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    50  3.73054260  0.71295E+00   1.923112   3.625267   5.789209  -2.586014   0.00000   0.00000   0.00000   0.00000   0.00000  0.8092E-06  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.789209   0.000000   17.150688   2.083208   1.300000  0.0000E+00   0.000000  0.4265E+01 -0.9900E+02   1.948562   1.760000
    51  3.76036642  0.71295E+00   1.907663   3.626334   5.798608  -2.557865   0.00000   0.00000   0.00000   0.00000   0.00000  0.1219E-05  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.798608   0.000000   16.765729   2.102926   1.300000  0.0000E+00   0.000000  0.4290E+01 -0.9900E+02   1.942792   1.760000
    52  3.78981857  0.71295E+00   1.892212   3.627379   5.807990  -2.529765   0.00000   0.00000   0.00000   0.00000   0.00000  0.1831E-05  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.807990   0.000000   16.391072   2.122556   1.300000  0.0000E+00   0.000000  0.4316E+01 -0.9900E+02   1.937106   1.760000
    53  3.81906439  0.71295E+00   1.876632   3.628405   5.817398  -2.501588   0.00000   0.00000   0.00000   0.00000   0.00000  0.2748E-05  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.817398   0.000000   16.023741   2.142243   1.300000  0.0000E+00   0.000000  0.4341E+01 -0.9900E+02   1.931648   1.760000
    54  3.84803429  0.71295E+00   1.860910   3.629393   5.826801  -2.473425   0.00000   0.00000   0.00000   0.00000   0.00000  0.4114E-05  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.826801   0.000000   15.664895   2.161916   1.300000  0.0000E+00   0.000000  0.4367E+01 -0.9900E+02   1.926319   1.760000
    55  3.87677980  0.71295E+00   1.845230   3.630385   5.836211  -2.445245   0.00000   0.00000   0.00000   0.00000   0.00000  0.6148E-05  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.836211   0.000000   15.314555   2.181562   1.300000  0.0000E+00   0.000000  0.4392E+01 -0.9900E+02   1.920971   1.760000
    56  3.90535396  0.71295E+00   1.829359   3.631337   5.845635  -2.417026   0.00000   0.00000   0.00000   0.00000   0.00000  0.9176E-05  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.845635   0.000000   14.971466   2.201242   1.300000  0.0000E+00   0.000000  0.4418E+01 -0.9900E+02   1.916097   1.760000
    57  3.93373474  0.71295E+00   1.813526   3.632297   5.855062  -2.388776   0.00000   0.00000   0.00000   0.00000   0.00000  0.1367E-04  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.855062   0.000000   14.636189   2.220915   1.300000  0.0000E+00   0.000000  0.4444E+01 -0.9900E+02   1.911115   1.760000
    58  3.96194739  0.71295E+00   1.797609   3.633237   5.864494  -2.360505   0.00000   0.00000   0.00000   0.00000   0.00000  0.2032E-04  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.864494   0.000000   14.308332   2.240593   1.300000  0.0000E+00   0.000000  0.4469E+01 -0.9900E+02   1.906292   1.760000
    59  3.99000135  0.71295E+00   1.781690   3.634175   5.873931  -2.332214   0.00000   0.00000   0.00000   0.00000   0.00000  0.3014E-04  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.873931   0.000000   13.987948   2.260263   1.300000  0.0000E+00   0.000000  0.4495E+01 -0.9900E+02   1.901368   1.760000
    60  4.01792157  0.71295E+00   1.765722   3.635102   5.883378  -2.303894   0.00000   0.00000   0.00000   0.00000   0.00000  0.4465E-04  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.883378   0.000000   13.674643   2.279939   1.300000  0.0000E+00   0.000000  0.4521E+01 -0.9900E+02   1.896635   1.760000
    61  4.04571618  0.71295E+00   1.749704   3.636018   5.892832  -2.275555   0.00000   0.00000   0.00000   0.00000   0.00000  0.6602E-04  0.0000E+00  0.0000E+00  0.9998E+00   0.274000   5.892832   0.000000   13.368266   2.299621   1.300000  0.0000E+00   0.000000  0.4547E+01 -0.9900E+02   1.891982   1.760000
    62  4.07339303  0.71295E+00   1.733750   3.636949   5.902294  -2.247199   0.00000   0.00000   0.00000   0.00000   0.00000  0.9743E-04  0.0000E+00  0.0000E+00  0.9998E+00   0.274000   5.902294   0.000000   13.068826   2.319298   1.300000  0.0000E+00   0.000000  0.4573E+01 -0.9900E+02   1.887305   1.760000
