     R/Rsun        theta        Omega(1/ns) Unknown
     0.994808      1.34172      312.370     0.181828
     0.996168      1.34172      311.279     0.194264
     0.997251      1.34172      310.402     0.204487
     0.998128      1.34172      309.690     0.212946
     0.998842      1.34172      309.110     0.219937
     0.999417      1.34172      308.642     0.225628
     0.999861      1.34172      308.280     0.230070
      1.00019      1.34172      308.014     0.233358
      1.00046      1.34172      307.795     0.236075
      1.00071      1.34172      307.588     0.238654
     0.400260      1.30900      426.946     0.542009
     0.442229      1.30900      427.093     0.435829
     0.482450      1.30900      426.598     0.356932
     0.521026      1.30900      426.412     0.311191
     0.558060      1.30900      425.437     0.309274
     0.593637      1.30900      424.465     0.325597
     0.627809      1.30900      423.630     0.334131
     0.660583      1.30900      418.070     0.330655
     0.691917      1.30900      403.539     0.319027
     0.721641      1.30900      383.217     0.304805
     0.749417      1.30900      365.447     0.290031
     0.775293      1.30900      354.694     0.275303
     0.799374      1.30900      349.776     0.260376
     0.821755      1.30900      347.601     0.245439
     0.842515      1.30900      346.136     0.231252
     0.861725      1.30900      344.757     0.218365
     0.879442      1.30900      343.411     0.207509
     0.895717      1.30900      342.089     0.200338
     0.910598      1.30900      340.920     0.198906
     0.924122      1.30900      340.024     0.203890
     0.936327      1.30900      339.301     0.211453
     0.947243      1.30900      338.378     0.210552
     0.956899      1.30900      336.851     0.191534
     0.965319      1.30900      334.601     0.156895
     0.972523      1.30900      331.874     0.119900
     0.978567      1.30900      329.152    0.0957722
     0.983589      1.30900      326.699    0.0933180
     0.987668      1.30900      324.412     0.108172
     0.990765      1.30900      322.484     0.128153
     0.993061      1.30900      320.982     0.146475
     0.994808      1.30900      319.807     0.161911
     0.996168      1.30900      318.876     0.174637
     0.997251      1.30900      318.128     0.185144
     0.998128      1.30900      317.519     0.193860
     0.998842      1.30900      317.022     0.201073
     0.999417      1.30900      316.622     0.206949
     0.999861      1.30900      316.312     0.211536
      1.00019      1.30900      316.085     0.214933
      1.00046      1.30900      315.897     0.217741
      1.00071      1.30900      315.720     0.220407
     0.400260      1.27627      426.967     0.542165
     0.442229      1.27627      427.127     0.436050
     0.482450      1.27627      426.657     0.356960
     0.521026      1.27627      426.520     0.310237
     0.558060      1.27627      425.573     0.306746
     0.593637      1.27627      424.576     0.321748
     0.627809      1.27627      423.793     0.329448
     0.660583      1.27627      418.462     0.325496
     0.691917      1.27627      404.313     0.313485
     0.721641      1.27627      384.394     0.298681
     0.749417      1.27627      366.994     0.283047
     0.775293      1.27627      356.607     0.267404
     0.799374      1.27627      352.027     0.251634
     0.821755      1.27627      350.121     0.235921
     0.842515      1.27627      348.884     0.221029
     0.861725      1.27627      347.747     0.207524
     0.879442      1.27627      346.653     0.196002
     0.895717      1.27627      345.533     0.187901
     0.910598      1.27627      344.515     0.185077
     0.924122      1.27627      343.773     0.188517
     0.936327      1.27627      343.284     0.196219
     0.947243      1.27627      342.700     0.198344
     0.956899      1.27627      341.586     0.183668
     0.965319      1.27627      339.777     0.152139
     0.972523      1.27627      337.469     0.115325
     0.978567      1.27627      335.112    0.0877101
     0.983589      1.27627      333.066    0.0801435
     0.987668      1.27627      331.195    0.0923461
     0.990765      1.27627      329.598     0.112065
     0.993061      1.27627      328.353     0.130892
     0.994808      1.27627      327.378     0.146984
     0.996168      1.27627      326.604     0.160338
     0.997251      1.27627      325.980     0.171403
     0.998128      1.27627      325.470     0.180593
     0.998842      1.27627      325.054     0.188205
     0.999417      1.27627      324.718     0.194406
     0.999861      1.27627      324.459     0.199248
      1.00019      1.27627      324.268     0.202832
      1.00046      1.27627      324.111     0.205795
      1.00071      1.27627      323.962     0.208607
     0.400260      1.24355      426.990     0.542337
     0.442229      1.24355      427.164     0.436296
     0.482450      1.24355      426.723     0.356999
     0.521026      1.24355      426.641     0.309201
     0.558060      1.24355      425.725     0.303969
     0.593637      1.24355      424.702     0.317496
     0.627809      1.24355      423.975     0.324260
     0.660583      1.24355      418.897     0.319777
     0.691917      1.24355      405.173     0.307354
     0.721641      1.24355      385.708     0.291941
     0.749417      1.24355      368.726     0.275411
     0.775293      1.24355      358.745     0.258822
     0.799374      1.24355      354.533     0.242208
     0.821755      1.24355      352.915     0.225753
     0.842515      1.24355      351.918     0.210237
     0.861725      1.24355      351.037     0.196246
     0.879442      1.24355      350.207     0.184218
     0.895717      1.24355      349.298     0.175321
     0.910598      1.24355      348.434     0.171188
     0.924122      1.24355      347.839     0.172964
     0.936327      1.24355      347.567     0.180456
     0.947243      1.24355      347.294     0.185498
     0.956899      1.24355      346.554     0.175636
     0.965319      1.24355      345.146     0.148204
     0.972523      1.24355      343.224     0.112994
     0.978567      1.24355      341.187    0.0834714
     0.983589      1.24355      339.445    0.0714022
     0.987668      1.24355      337.918    0.0807386
     0.990765      1.24355      336.601     0.100206
     0.993061      1.24355      335.570     0.119665
     0.994808      1.24355      334.762     0.136549
     0.996168      1.24355      334.117     0.150657
     0.997251      1.24355      333.595     0.162384
     0.998128      1.24355      333.168     0.172140
     0.998842      1.24355      332.819     0.180223
     0.999417      1.24355      332.537     0.186810
     0.999861      1.24355      332.319     0.191951
      1.00019      1.24355      332.158     0.195758
      1.00046      1.24355      332.026     0.198904
      1.00071      1.24355      331.902     0.201889
     0.400260      1.21082      427.015     0.542525
     0.442229      1.21082      427.206     0.436566
     0.482450      1.21082      426.795     0.357051
     0.521026      1.21082      426.774     0.308097
     0.558060      1.21082      425.893     0.300963
     0.593637      1.21082      424.841     0.312861
     0.627809      1.21082      424.176     0.318586
     0.660583      1.21082      419.373     0.313520
     0.691917      1.21082      406.118     0.300664
     0.721641      1.21082      387.160     0.284635
     0.749417      1.21082      370.643     0.267197
     0.775293      1.21082      361.106     0.249669
     0.799374      1.21082      357.288     0.232253
     0.821755      1.21082      355.972     0.215147
     0.842515      1.21082      355.224     0.199148
     0.861725      1.21082      354.605     0.184878
     0.879442      1.21082      354.047     0.172582
     0.895717      1.21082      353.350     0.163101
     0.910598      1.21082      352.636     0.157824
     0.924122      1.21082      352.177     0.157886
     0.936327      1.21082      352.096     0.164766
     0.947243      1.21082      352.089     0.172422
     0.956899      1.21082      351.667     0.167585
     0.965319      1.21082      350.598     0.144947
     0.972523      1.21082      349.010     0.112457
     0.978567      1.21082      347.252    0.0824876
     0.983589      1.21082      345.712    0.0667488
     0.987668      1.21082      344.417    0.0727506
     0.990765      1.21082      343.295    0.0914585
     0.993061      1.21082      342.409     0.111291
     0.994808      1.21082      341.712     0.128841
     0.996168      1.21082      341.153     0.143641
     0.997251      1.21082      340.698     0.156001
     0.998128      1.21082      340.326     0.166308
     0.998842      1.21082      340.021     0.174857
     0.999417      1.21082      339.774     0.181826
     0.999861      1.21082      339.584     0.187267
      1.00019      1.21082      339.444     0.191295
      1.00046      1.21082      339.328     0.194625
      1.00071      1.21082      339.219     0.197784
     0.400260      1.17810      427.043     0.542729
     0.442229      1.17810      427.252     0.436862
     0.482450      1.17810      426.875     0.357120
     0.521026      1.17810      426.920     0.306935
     0.558060      1.17810      426.076     0.297749
     0.593637      1.17810      424.995     0.307869
     0.627809      1.17810      424.396     0.312452
     0.660583      1.17810      419.891     0.306751
     0.691917      1.17810      407.146     0.293454
     0.721641      1.17810      388.746     0.276823
     0.749417      1.17810      372.744     0.258500
     0.775293      1.17810      363.686     0.240080
     0.799374      1.17810      360.284     0.221956
     0.821755      1.17810      359.282     0.204345
     0.842515      1.17810      358.786     0.188069
     0.861725      1.17810      358.430     0.173786
     0.879442      1.17810      358.143     0.161527
     0.895717      1.17810      357.654     0.151736
     0.910598      1.17810      357.083     0.145549
     0.924122      1.17810      356.746     0.143937
     0.936327      1.17810      356.824     0.149791
     0.947243      1.17810      357.030     0.159558
     0.956899      1.17810      356.858     0.159647
     0.965319      1.17810      356.057     0.142120
     0.972523      1.17810      354.740     0.113008
     0.978567      1.17810      353.209    0.0836153
     0.983589      1.17810      351.792    0.0649790
     0.987668      1.17810      350.598    0.0671188
     0.990765      1.17810      349.571    0.0843155
     0.993061      1.17810      348.751     0.104120
     0.994808      1.17810      348.101     0.122127
     0.996168      1.17810      347.579     0.137504
     0.997251      1.17810      347.153     0.150427
     0.998128      1.17810      346.804     0.161239
     0.998842      1.17810      346.517     0.170222
     0.999417      1.17810      346.287     0.177551
     0.999861      1.17810      346.108     0.183275
      1.00019      1.17810      345.977     0.187514
      1.00046      1.17810      345.869     0.191018
      1.00071      1.17810      345.766     0.194343
     0.400260      1.14537      427.074     0.542948
     0.442229      1.14537      427.302     0.437181
     0.482450      1.14537      426.962     0.357208
     0.521026      1.14537      427.078     0.305729
     0.558060      1.14537      426.276     0.294351
     0.593637      1.14537      425.164     0.302548
     0.627809      1.14537      424.635     0.305887
     0.660583      1.14537      420.447     0.299506
     0.691917      1.14537      408.253     0.285768
     0.721641      1.14537      390.466     0.268574
     0.749417      1.14537      375.027     0.249428
     0.775293      1.14537      366.482     0.230211
     0.799374      1.14537      363.514     0.211525
     0.821755      1.14537      362.830     0.193612
     0.842515      1.14537      362.584     0.177311
     0.861725      1.14537      362.488     0.163323
     0.879442      1.14537      362.466     0.151435
     0.895717      1.14537      362.177     0.141643
     0.910598      1.14537      361.740     0.134825
     0.924122      1.14537      361.508     0.131681
     0.936327      1.14537      361.713     0.136133
     0.947243      1.14537      362.077     0.147335
     0.956899      1.14537      362.086     0.151941
     0.965319      1.14537      361.483     0.139463
     0.972523      1.14537      360.367     0.113954
     0.978567      1.14537      359.003    0.0857053
     0.983589      1.14537      357.649    0.0648191
     0.987668      1.14537      356.448    0.0627839
     0.990765      1.14537      355.421    0.0778234
     0.993061      1.14537      354.598    0.0972793
     0.994808      1.14537      353.941     0.115592
     0.996168      1.14537      353.413     0.131463
     0.997251      1.14537      352.983     0.144899
     0.998128      1.14537      352.630     0.156180
     0.998842      1.14537      352.342     0.165570
     0.999417      1.14537      352.109     0.173238
     0.999861      1.14537      351.929     0.179231
      1.00019      1.14537      351.796     0.183669
      1.00046      1.14537      351.687     0.187338
      1.00071      1.14537      351.584     0.190821
     0.400260      1.11265      427.106     0.543181
     0.442229      1.11265      427.355     0.437523
     0.482450      1.11265      427.055     0.357319
     0.521026      1.11265      427.249     0.304495
     0.558060      1.11265      426.492     0.290799
     0.593637      1.11265      425.347     0.296932
     0.627809      1.11265      424.893     0.298930
     0.660583      1.11265      421.042     0.291825
     0.691917      1.11265      409.438     0.277661
     0.721641      1.11265      392.316     0.259969
     0.749417      1.11265      377.488     0.240105
     0.775293      1.11265      369.486     0.220234
     0.799374      1.11265      366.966     0.201182
     0.821755      1.11265      366.601     0.183214
     0.842515      1.11265      366.600     0.167174
     0.861725      1.11265      366.753     0.153790
     0.879442      1.11265      366.985     0.142591
     0.895717      1.11265      366.884     0.133090
     0.910598      1.11265      366.568     0.125925
     0.924122      1.11265      366.429     0.121485
     0.936327      1.11265      366.730     0.124262
     0.947243      1.11265      367.202     0.136112
     0.956899      1.11265      367.331     0.144564
     0.965319      1.11265      366.861     0.136759
     0.972523      1.11265      365.885     0.114753
