#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
   838  9.60091090  0.23947E-03   0.59032   3.79257   7.31092   2.74413   0.00000   0.00000  0.00000  0.00000   2.44486  0.620E+00  0.344E+00  0.000E+00 -0.122E-02  0.1091  5.8238  0.0000   1.7111  4.0612  1.230000  0.000E+00  5.90323E-01  0.00000E+00  0.00000E+00    6.55090  -99.00000  -99.00000  -99.00000  -99.00000        1.250469E-02    0.83828  2.567753E+44  2.000000E+00
   839  9.60135751  0.22802E-03   0.59071   3.79251   7.31093   2.74522   0.00000   0.00000  0.00000  0.00000   2.44486  0.619E+00  0.345E+00  0.000E+00 -0.118E-02  0.1090  5.8230  0.0000   1.7124  4.0605  1.230000  0.000E+00  5.90708E-01  0.00000E+00  0.00000E+00    6.55019  -99.00000  -99.00000  -99.00000  -99.00000        1.218039E-02    0.83839  2.130461E+44  2.000000E+00
   840  9.60180191  0.21713E-03   0.59109   3.79244   7.31096   2.74632   0.00000   0.00000  0.00000  0.00000   2.44486  0.617E+00  0.346E+00  0.000E+00 -0.118E-02  0.1089  5.8222  0.0000   1.7136  4.0599  1.230000  0.000E+00  5.91091E-01  0.00000E+00  0.00000E+00    6.54949  -99.00000  -99.00000  -99.00000  -99.00000        1.192587E-02    0.83852  2.126787E+44  2.000000E+00
   841  9.60224451  0.20676E-03   0.59147   3.79238   7.31098   2.74741   0.00000   0.00000  0.00000  0.00000   2.44486  0.616E+00  0.348E+00  0.000E+00 -0.117E-02  0.1088  5.8215  0.0000   1.7149  4.0593  1.230000  0.000E+00  5.91474E-01  0.00000E+00  0.00000E+00    6.54878  -99.00000  -99.00000  -99.00000  -99.00000        1.172758E-02    0.83863  2.123176E+44  2.000000E+00
   842  9.60268523  0.19688E-03   0.59186   3.79232   7.31101   2.74851   0.00000   0.00000  0.00000  0.00000   2.44486  0.614E+00  0.349E+00  0.000E+00 -0.116E-02  0.1087  5.8207  0.0000   1.7162  4.0586  1.230000  0.000E+00  5.91858E-01  0.00000E+00  0.00000E+00    6.54808  -99.00000  -99.00000  -99.00000  -99.00000        1.155809E-02    0.83875  2.119554E+44  2.000000E+00
   843  9.60312404  0.18748E-03   0.59224   3.79225   7.31103   2.74961   0.00000   0.00000  0.00000  0.00000   2.44486  0.613E+00  0.351E+00  0.000E+00 -0.116E-02  0.1086  5.8200  0.0000   1.7174  4.0580  1.230000  0.000E+00  5.92242E-01  0.00000E+00  0.00000E+00    6.54738  -99.00000  -99.00000  -99.00000  -99.00000        1.141695E-02    0.83887  2.116017E+44  2.000000E+00
   844  9.60356088  0.17852E-03   0.59262   3.79218   7.31107   2.75069   0.00000   0.00000  0.00000  0.00000   2.44486  0.611E+00  0.352E+00  0.000E+00 -0.117E-02  0.1084  5.8193  0.0000   1.7187  4.0573  1.230000  0.000E+00  5.92622E-01  0.00000E+00  0.00000E+00    6.54668  -99.00000  -99.00000  -99.00000  -99.00000        1.129426E-02    0.83898  2.112492E+44  2.000000E+00
   845  9.60399571  0.16999E-03   0.59300   3.79212   7.31111   2.75177   0.00000   0.00000  0.00000  0.00000   2.44486  0.610E+00  0.353E+00  0.000E+00 -0.117E-02  0.1083  5.8185  0.0000   1.7200  4.0567  1.230000  0.000E+00  5.93002E-01  0.00000E+00  0.00000E+00    6.54598  -99.00000  -99.00000  -99.00000  -99.00000        1.117821E-02    0.83910  2.108876E+44  2.000000E+00
   846  9.60442848  0.16186E-03   0.59338   3.79206   7.31115   2.75286   0.00000   0.00000  0.00000  0.00000   2.44486  0.609E+00  0.355E+00  0.000E+00 -0.116E-02  0.1082  5.8177  0.0000   1.7212  4.0561  1.230000  0.000E+00  5.93384E-01  0.00000E+00  0.00000E+00    6.54528  -99.00000  -99.00000  -99.00000  -99.00000        1.107553E-02    0.83922  2.105337E+44  2.000000E+00
   847  9.60485914  0.15413E-03   0.59374   3.79199   7.31140   2.75381   0.00000   0.00000  0.00000  0.00000   2.44486  0.607E+00  0.356E+00  0.000E+00 -0.121E-02  0.1081  5.8170  0.0000   1.7224  4.0555  1.230000  0.000E+00  5.93736E-01  0.00000E+00  0.00000E+00    6.54462  -99.00000  -99.00000  -99.00000  -99.00000        1.097829E-02    0.83934  1.691998E+44  2.000000E+00
   848  9.60528776  0.14670E-03   0.59411   3.79193   7.31146   2.75486   0.00000   0.00000  0.00000  0.00000   2.44486  0.606E+00  0.357E+00  0.000E+00 -0.118E-02  0.1080  5.8162  0.0000   1.7237  4.0548  1.230000  0.000E+00  5.94108E-01  0.00000E+00  0.00000E+00    6.54393  -99.00000  -99.00000  -99.00000  -99.00000        1.089108E-02    0.83946  2.098191E+44  2.000000E+00
   849  9.60571062  0.13968E-03   0.59448   3.79186   7.31150   2.75594   0.00000   0.00000  0.00000  0.00000   2.44486  0.604E+00  0.359E+00  0.000E+00 -0.117E-02  0.1079  5.8155  0.0000   1.7249  4.0542  1.230000  0.000E+00  5.94485E-01  0.00000E+00  0.00000E+00    6.54324  -99.00000  -99.00000  -99.00000  -99.00000        1.080872E-02    0.83958  2.094618E+44  2.000000E+00
   850  9.60613110  0.13300E-03   0.59486   3.79180   7.31154   2.75702   0.00000   0.00000  0.00000  0.00000   2.44486  0.603E+00  0.360E+00  0.000E+00 -0.117E-02  0.1078  5.8147  0.0000   1.7262  4.0536  1.230000  0.000E+00  5.94864E-01  0.00000E+00  0.00000E+00    6.54254  -99.00000  -99.00000  -99.00000  -99.00000        1.073263E-02    0.83970  2.091080E+44  2.000000E+00
   851  9.60654938  0.12664E-03   0.59524   3.79174   7.31159   2.75811   0.00000   0.00000  0.00000  0.00000   2.44486  0.602E+00  0.361E+00  0.000E+00 -0.116E-02  0.1077  5.8140  0.0000   1.7274  4.0529  1.230000  0.000E+00  5.95243E-01  0.00000E+00  0.00000E+00    6.54185  -99.00000  -99.00000  -99.00000  -99.00000        1.628119E-02    0.83982  2.087596E+44  2.000000E+00
   852  9.60696549  0.12059E-03   0.59562   3.79167   7.31163   2.75919   0.00000   0.00000  0.00000  0.00000   2.44486  0.600E+00  0.363E+00  0.000E+00 -0.115E-02  0.1076  5.8133  0.0000   1.7287  4.0523  1.230000  0.000E+00  5.95622E-01  0.00000E+00  0.00000E+00    6.54116  -99.00000  -99.00000  -99.00000  -99.00000        1.464347E-02    0.83993  2.084149E+44  2.000000E+00
   853  9.60737943  0.11482E-03   0.59597   3.79160   7.31171   2.76025   0.00000   0.00000  0.00000  0.00000   2.44486  0.599E+00  0.364E+00  0.000E+00 -0.124E-02  0.1075  5.8124  0.0000   1.7300  4.0516  1.230000  0.000E+00  5.95975E-01  0.00000E+00  0.00000E+00    6.54047  -99.00000  -99.00000  -99.00000  -99.00000        1.385404E-02    0.84009  2.876859E+44  2.000000E+00
   854  9.60779117  0.10933E-03   0.59636   3.79153   7.31176   2.76132   0.00000   0.00000  0.00000  0.00000   2.44470  0.598E+00  0.365E+00  0.000E+00 -0.118E-02  0.1074  5.8317  0.0000   1.7313  4.0510  1.230000  0.000E+00  5.96364E-01  0.00000E+00  0.00000E+00    6.53976  -99.00000  -99.00000  -99.00000  -99.00000        1.345596E-02    0.83399  2.076487E+44  2.000000E+00
   855  9.60820032  0.10410E-03   0.59673   3.79148   7.31191   2.76214   0.00000   0.00000  0.00000  0.00000   2.44486  0.597E+00  0.367E+00  0.000E+00 -0.116E-02  0.1086  5.8112  0.0000   1.7324  4.0504  1.230000  0.000E+00  5.96731E-01  0.00000E+00  0.00000E+00    6.53911  -99.00000  -99.00000  -99.00000  -99.00000        1.040174E-02    0.84038  2.072952E+44  2.000000E+00
   856  9.60860725  0.99111E-04   0.59710   3.79142   7.31199   2.76318   0.00000   0.00000  0.00000  0.00000   2.44486  0.595E+00  0.368E+00  0.000E+00 -0.116E-02  0.1085  5.8105  0.0000   1.7337  4.0498  1.230000  0.000E+00  5.97099E-01  0.00000E+00  0.00000E+00    6.53843  -99.00000  -99.00000  -99.00000  -99.00000        1.034910E-02    0.84049  2.069553E+44  2.000000E+00
   857  9.60901121  0.94367E-04   0.59748   3.79136   7.31204   2.76426   0.00000   0.00000  0.00000  0.00000   2.44470  0.594E+00  0.369E+00  0.000E+00 -0.115E-02  0.1084  5.8299  0.0000   1.7349  4.0492  1.230000  0.000E+00  5.97475E-01  0.00000E+00  0.00000E+00    6.53775  -99.00000  -99.00000  -99.00000  -99.00000        1.516065E-02    0.83439  2.066243E+44  2.000000E+00
   858  9.60941262  0.89853E-04   0.59785   3.79130   7.31210   2.76534   0.00000   0.00000  0.00000  0.00000   2.44470  0.593E+00  0.370E+00  0.000E+00 -0.115E-02  0.1083  5.8292  0.0000   1.7361  4.0486  1.230000  0.000E+00  5.97850E-01  0.00000E+00  0.00000E+00    6.53706  -99.00000  -99.00000  -99.00000  -99.00000        1.407257E-02    0.83450  2.485565E+44  2.000000E+00
   859  9.60981173  0.85555E-04   0.59822   3.79124   7.31216   2.76642   0.00000   0.00000  0.00000  0.00000   2.44470  0.591E+00  0.372E+00  0.000E+00 -0.116E-02  0.1082  5.8285  0.0000   1.7374  4.0479  1.230000  0.000E+00  5.98224E-01  0.00000E+00  0.00000E+00    6.53638  -99.00000  -99.00000  -99.00000  -99.00000        1.349741E-02    0.83461  2.481588E+44  2.000000E+00
   860  9.61020859  0.81462E-04   0.59860   3.79118   7.31222   2.76750   0.00000   0.00000  0.00000  0.00000   2.44470  0.590E+00  0.373E+00  0.000E+00 -0.115E-02  0.1082  5.8278  0.0000   1.7386  4.0473  1.230000  0.000E+00  5.98599E-01  0.00000E+00  0.00000E+00    6.53570  -99.00000  -99.00000  -99.00000  -99.00000        1.313693E-02    0.83472  2.477636E+44  2.000000E+00
   861  9.61060318  0.77565E-04   0.59897   3.79112   7.31228   2.76859   0.00000   0.00000  0.00000  0.00000   2.44470  0.589E+00  0.374E+00  0.000E+00 -0.114E-02  0.1081  5.8271  0.0000   1.7398  4.0467  1.230000  0.000E+00  5.98974E-01  0.00000E+00  0.00000E+00    6.53502  -99.00000  -99.00000  -99.00000  -99.00000        1.287583E-02    0.83483  2.473708E+44  2.000000E+00
   862  9.61099549  0.73854E-04   0.59935   3.79106   7.31234   2.76967   0.00000   0.00000  0.00000  0.00000   2.44470  0.588E+00  0.375E+00  0.000E+00 -0.114E-02  0.1080  5.8264  0.0000   1.7411  4.0461  1.230000  0.000E+00  5.99350E-01  0.00000E+00  0.00000E+00    6.53434  -99.00000  -99.00000  -99.00000  -99.00000        1.267380E-02    0.83494  2.469850E+44  2.000000E+00
   863  9.61138553  0.70320E-04   0.59972   3.79100   7.31241   2.77076   0.00000   0.00000  0.00000  0.00000   2.44470  0.587E+00  0.376E+00  0.000E+00 -0.114E-02  0.1079  5.8257  0.0000   1.7423  4.0455  1.230000  0.000E+00  5.99724E-01  0.00000E+00  0.00000E+00    6.53366  -99.00000  -99.00000  -99.00000  -99.00000        1.250550E-02    0.83505  2.465998E+44  2.000000E+00
   864  9.61177327  0.66956E-04   0.60010   3.79094   7.31247   2.77184   0.00000   0.00000  0.00000  0.00000   2.44470  0.585E+00  0.378E+00  0.000E+00 -0.114E-02  0.1078  5.8250  0.0000   1.7435  4.0449  1.230000  0.000E+00  6.00096E-01  0.00000E+00  0.00000E+00    6.53298  -99.00000  -99.00000  -99.00000  -99.00000        1.236033E-02    0.83516  2.462132E+44  2.000000E+00
   865  9.61215873  0.63752E-04   0.60047   3.79088   7.31254   2.77292   0.00000   0.00000  0.00000  0.00000   2.44470  0.584E+00  0.379E+00  0.000E+00 -0.114E-02  0.1077  5.8243  0.0000   1.7447  4.0443  1.230000  0.000E+00  6.00469E-01  0.00000E+00  0.00000E+00    6.53231  -99.00000  -99.00000  -99.00000  -99.00000        1.223428E-02    0.83527  2.458268E+44  2.000000E+00
   866  9.61254189  0.60702E-04   0.60084   3.79083   7.31261   2.77400   0.00000   0.00000  0.00000  0.00000   2.44470  0.583E+00  0.380E+00  0.000E+00 -0.113E-02  0.1077  5.8236  0.0000   1.7459  4.0437  1.230000  0.000E+00  6.00842E-01  0.00000E+00  0.00000E+00    6.53163  -99.00000  -99.00000  -99.00000  -99.00000        1.212360E-02    0.83538  2.454462E+44  2.000000E+00
   867  9.61292286  0.57797E-04   0.60122   3.79077   7.31270   2.77507   0.00000   0.00000  0.00000  0.00000   2.44470  0.582E+00  0.381E+00  0.000E+00 -0.119E-02  0.1076  5.8229  0.0000   1.7472  4.0431  1.230000  0.000E+00  6.01216E-01  0.00000E+00  0.00000E+00    6.53095  -99.00000  -99.00000  -99.00000  -99.00000        1.201977E-02    0.83549  2.883015E+44  2.000000E+00
   868  9.61330151  0.55029E-04   0.60159   3.79071   7.31277   2.77614   0.00000   0.00000  0.00000  0.00000   2.44470  0.581E+00  0.383E+00  0.000E+00 -0.114E-02  0.1075  5.8222  0.0000   1.7484  4.0424  1.230000  0.000E+00  6.01591E-01  0.00000E+00  0.00000E+00    6.53026  -99.00000  -99.00000  -99.00000  -99.00000        1.193065E-02    0.83560  2.446764E+44  2.000000E+00
   869  9.61367753  0.52395E-04   0.60196   3.79065   7.31284   2.77722   0.00000   0.00000  0.00000  0.00000   2.44470  0.580E+00  0.384E+00  0.000E+00 -0.113E-02  0.1074  5.8215  0.0000   1.7496  4.0418  1.230000  0.000E+00  6.01962E-01  0.00000E+00  0.00000E+00    6.52959  -99.00000  -99.00000  -99.00000  -99.00000        1.184944E-02    0.83570  2.443063E+44  2.000000E+00
   870  9.61405124  0.49887E-04   0.60233   3.79059   7.31291   2.77831   0.00000   0.00000  0.00000  0.00000   2.44470  0.578E+00  0.385E+00  0.000E+00 -0.113E-02  0.1073  5.8209  0.0000   1.7508  4.0412  1.230000  0.000E+00  6.02333E-01  0.00000E+00  0.00000E+00    6.52892  -99.00000  -99.00000  -99.00000  -99.00000        1.177178E-02    0.83581  2.439292E+44  2.000000E+00
   871  9.61442261  0.47499E-04   0.60270   3.79053   7.31298   2.77940   0.00000   0.00000  0.00000  0.00000   2.44470  0.577E+00  0.386E+00  0.000E+00 -0.112E-02  0.1072  5.8202  0.0000   1.7520  4.0406  1.230000  0.000E+00  6.02704E-01  0.00000E+00  0.00000E+00    6.52825  -99.00000  -99.00000  -99.00000  -99.00000        1.992310E-02    0.83591  2.435578E+44  2.000000E+00
   872  9.61479166  0.45225E-04   0.60308   3.79048   7.31305   2.78049   0.00000   0.00000  0.00000  0.00000   2.44470  0.576E+00  0.387E+00  0.000E+00 -0.111E-02  0.1072  5.8195  0.0000   1.7533  4.0400  1.230000  0.000E+00  6.03075E-01  0.00000E+00  0.00000E+00    6.52758  -99.00000  -99.00000  -99.00000  -99.00000        1.607808E-02    0.83602  2.431928E+44  2.000000E+00
   873  9.61515839  0.43060E-04   0.60345   3.79042   7.31313   2.78159   0.00000   0.00000  0.00000  0.00000   2.44470  0.575E+00  0.388E+00  0.000E+00 -0.111E-02  0.1071  5.8189  0.0000   1.7544  4.0395  1.230000  0.000E+00  6.03446E-01  0.00000E+00  0.00000E+00    6.52691  -99.00000  -99.00000  -99.00000  -99.00000        1.519767E-02    0.83612  2.428251E+44  2.000000E+00
   874  9.61552278  0.40999E-04   0.60381   3.79036   7.31320   2.78267   0.00000   0.00000  0.00000  0.00000   2.44470  0.574E+00  0.389E+00  0.000E+00 -0.111E-02  0.1070  5.8182  0.0000   1.7557  4.0389  1.230000  0.000E+00  6.03814E-01  0.00000E+00  0.00000E+00    6.52624  -99.00000  -99.00000  -99.00000  -99.00000        1.473180E-02    0.83622  2.424696E+44  2.000000E+00
   875  9.61588485  0.39036E-04   0.60416   3.79031   7.31342   2.78350   0.00000   0.00000  0.00000  0.00000   2.44453  0.573E+00  0.390E+00  0.000E+00 -0.114E-02  0.1069  5.8360  0.0000   1.7568  4.0383  1.230000  0.000E+00  6.04159E-01  0.00000E+00  0.00000E+00    6.52562  -99.00000  -99.00000  -99.00000  -99.00000        1.438802E-02    0.83053  2.009697E+44  2.000000E+00
   876  9.61624459  0.37162E-04   0.60452   3.79026   7.31352   2.78454   0.00000   0.00000  0.00000  0.00000   2.44470  0.572E+00  0.391E+00  0.000E+00 -0.112E-02  0.1080  5.8172  0.0000   1.7579  4.0377  1.230000  0.000E+00  6.04516E-01  0.00000E+00  0.00000E+00    6.52499  -99.00000  -99.00000  -99.00000  -99.00000        1.140144E-02    0.83649  2.846997E+44  2.000000E+00
   877  9.61660086  0.35381E-04   0.60487   3.79020   7.31362   2.78550   0.00000   0.00000  0.00000  0.00000   2.44470  0.571E+00  0.393E+00  0.000E+00 -0.130E-02  0.1080  5.8165  0.0000   1.7591  4.0371  1.230000  0.000E+00  6.04875E-01  0.00000E+00  0.00000E+00    6.52433  -99.00000  -99.00000  -99.00000  -99.00000        1.134235E-02    0.83661  2.842276E+44  2.000000E+00
   878  9.61695451  0.33686E-04   0.60525   3.79022   7.31370   2.78662   0.00000   0.00000  0.00000  0.00000   2.44453  0.570E+00  0.394E+00  0.000E+00 -0.114E-02  0.1079  5.8336  0.0000   1.7597  4.0369  1.230000  0.000E+00  6.05252E-01  0.00000E+00  0.00000E+00    6.52381  -99.00000  -99.00000  -99.00000  -99.00000        1.496150E-02    0.83115  2.406189E+44  2.000000E+00
   879  9.61730559  0.32073E-04   0.60563   3.79017   7.31377   2.78774   0.00000   0.00000  0.00000  0.00000   2.44453  0.569E+00  0.395E+00  0.000E+00 -0.111E-02  0.1078  5.8330  0.0000   1.7609  4.0363  1.230000  0.000E+00  6.05627E-01  0.00000E+00  0.00000E+00    6.52314  -99.00000  -99.00000  -99.00000  -99.00000        1.443577E-02    0.83126  2.829821E+44  2.000000E+00
   880  9.61765437  0.30537E-04   0.60599   3.79012   7.31386   2.78882   0.00000   0.00000  0.00000  0.00000   2.44453  0.568E+00  0.396E+00  0.000E+00 -0.120E-02  0.1078  5.8323  0.0000   1.7621  4.0357  1.230000  0.000E+00  6.05992E-01  0.00000E+00  0.00000E+00    6.52248  -99.00000  -99.00000  -99.00000  -99.00000        1.404147E-02    0.83138  3.266107E+44  2.000000E+00
   881  9.61800093  0.29074E-04   0.60637   3.79046   7.31394   2.78991   0.00000   0.00000  0.00000  0.00000   2.44453  0.567E+00  0.397E+00  0.000E+00 -0.112E-02  0.1077  5.8288  0.0000   1.7600  4.0367  1.230000  0.000E+00  6.06370E-01  0.00000E+00  0.00000E+00    6.52261  -99.00000  -99.00000  -99.00000  -99.00000        1.274491E-02    0.83264  2.802351E+44  2.000000E+00
   882  9.61834499  0.27683E-04   0.60674   3.79041   7.31402   2.79102   0.00000   0.00000  0.00000  0.00000   2.44453  0.566E+00  0.398E+00  0.000E+00 -0.111E-02  0.1076  5.8281  0.0000   1.7612  4.0361  1.230000  0.000E+00  6.06735E-01  0.00000E+00  0.00000E+00    6.52197  -99.00000  -99.00000  -99.00000  -99.00000        1.265983E-02    0.83276  2.798084E+44  2.000000E+00
   883  9.61868695  0.26357E-04   0.60710   3.79036   7.31409   2.79214   0.00000   0.00000  0.00000  0.00000   2.44453  0.565E+00  0.399E+00  0.000E+00 -0.110E-02  0.1076  5.8275  0.0000   1.7624  4.0355  1.230000  0.000E+00  6.07102E-01  0.00000E+00  0.00000E+00    6.52130  -99.00000  -99.00000  -99.00000  -99.00000        1.817750E-02    0.83284  2.794310E+44  2.000000E+00
   884  9.61902674  0.25096E-04   0.60745   3.79029   7.31416   2.79326   0.00000   0.00000  0.00000  0.00000   2.44453  0.564E+00  0.400E+00  0.000E+00 -0.111E-02  0.1075  5.8268  0.0000   1.7636  4.0349  1.230000  0.000E+00  6.07454E-01  0.00000E+00  0.00000E+00    6.52065  -99.00000  -99.00000  -99.00000  -99.00000        1.635586E-02    0.83296  3.225494E+44  2.000000E+00
   885  9.61936440  0.23893E-04   0.60783   3.79024   7.31424   2.79437   0.00000   0.00000  0.00000  0.00000   2.44453  0.563E+00  0.401E+00  0.000E+00 -0.109E-02  0.1074  5.8262  0.0000   1.7648  4.0344  1.230000  0.000E+00  6.07826E-01  0.00000E+00  0.00000E+00    6.51998  -99.00000  -99.00000  -99.00000  -99.00000        1.576238E-02    0.83306  2.785775E+44  2.000000E+00
   886  9.61969963  0.22749E-04   0.60819   3.79019   7.31432   2.79549   0.00000   0.00000  0.00000  0.00000   2.44453  0.562E+00  0.402E+00  0.000E+00 -0.110E-02  0.1074  5.8256  0.0000   1.7659  4.0338  1.230000  0.000E+00  6.08188E-01  0.00000E+00  0.00000E+00    6.51933  -99.00000  -99.00000  -99.00000  -99.00000        1.539158E-02    0.83315  2.781932E+44  2.000000E+00
   887  9.62003271  0.21660E-04   0.60855   3.79013   7.31439   2.79660   0.00000   0.00000  0.00000  0.00000   2.44437  0.561E+00  0.403E+00  0.000E+00 -0.109E-02  0.1073  5.8420  0.0000   1.7671  4.0332  1.230000  0.000E+00  6.08549E-01  0.00000E+00  0.00000E+00    6.51868  -99.00000  -99.00000  -99.00000  -99.00000        1.512160E-02    0.82782  2.778106E+44  2.000000E+00
   888  9.62036365  0.20623E-04   0.60891   3.79009   7.31447   2.79772   0.00000   0.00000  0.00000  0.00000   2.44453  0.560E+00  0.404E+00  0.000E+00 -0.109E-02  0.1083  5.8246  0.0000   1.7682  4.0327  1.230000  0.000E+00  6.08912E-01  0.00000E+00  0.00000E+00    6.51806  -99.00000  -99.00000  -99.00000  -99.00000        1.228987E-02    0.83340  3.210115E+44  2.000000E+00
   889  9.62069247  0.19636E-04   0.60927   3.79004   7.31455   2.79884   0.00000   0.00000  0.00000  0.00000   2.44453  0.559E+00  0.405E+00  0.000E+00 -0.108E-02  0.1082  5.8240  0.0000   1.7693  4.0321  1.230000  0.000E+00  6.09273E-01  0.00000E+00  0.00000E+00    6.51741  -99.00000  -99.00000  -99.00000  -99.00000        1.224276E-02    0.83349  2.770264E+44  2.000000E+00
   890  9.62101919  0.18696E-04   0.60963   3.78999   7.31462   2.79996   0.00000   0.00000  0.00000  0.00000   2.44437  0.558E+00  0.405E+00  0.000E+00 -0.108E-02  0.1082  5.8404  0.0000   1.7705  4.0315  1.230000  0.000E+00  6.09634E-01  0.00000E+00  0.00000E+00    6.51676  -99.00000  -99.00000  -99.00000  -99.00000        2.322287E-02    0.82813  2.766758E+44  2.000000E+00
   891  9.62134382  0.17801E-04   0.61000   3.78993   7.31470   2.80109   0.00000   0.00000  0.00000  0.00000   2.44437  0.557E+00  0.406E+00  0.000E+00 -0.107E-02  0.1081  5.8399  0.0000   1.7717  4.0310  1.230000  0.000E+00  6.09995E-01  0.00000E+00  0.00000E+00    6.51611  -99.00000  -99.00000  -99.00000  -99.00000        2.663519E-02    0.82822  3.197574E+44  2.000000E+00
   892  9.62166641  0.16949E-04   0.61035   3.78989   7.31478   2.80221   0.00000   0.00000  0.00000  0.00000   2.44437  0.556E+00  0.407E+00  0.000E+00 -0.108E-02  0.1081  5.8394  0.0000   1.7728  4.0304  1.230000  0.000E+00  6.10353E-01  0.00000E+00  0.00000E+00    6.51548  -99.00000  -99.00000  -99.00000  -99.00000        1.582163E-02    0.82833  3.193035E+44  2.000000E+00
   893  9.62198697  0.16137E-04   0.61071   3.78984   7.31485   2.80333   0.00000   0.00000  0.00000  0.00000   2.44437  0.555E+00  0.408E+00  0.000E+00 -0.108E-02  0.1080  5.8389  0.0000   1.7739  4.0299  1.230000  0.000E+00  6.10710E-01  0.00000E+00  0.00000E+00    6.51485  -99.00000  -99.00000  -99.00000  -99.00000        1.529553E-02    0.82844  3.188519E+44  2.000000E+00
   894  9.62230551  0.15365E-04   0.61107   3.78979   7.31493   2.80446   0.00000   0.00000  0.00000  0.00000   2.44437  0.554E+00  0.409E+00  0.000E+00 -0.108E-02  0.1080  5.8384  0.0000   1.7751  4.0293  1.230000  0.000E+00  6.11067E-01  0.00000E+00  0.00000E+00    6.51421  -99.00000  -99.00000  -99.00000  -99.00000        1.498442E-02    0.82853  3.184297E+44  2.000000E+00
   895  9.62262205  0.14629E-04   0.61142   3.78973   7.31502   2.80557   0.00000   0.00000  0.00000  0.00000   2.44437  0.554E+00  0.410E+00  0.000E+00 -0.112E-02  0.1079  5.8375  0.0000   1.7763  4.0287  1.230000  0.000E+00  6.11424E-01  0.00000E+00  0.00000E+00    6.51357  -99.00000  -99.00000  -99.00000  -99.00000        1.466181E-02    0.82859  3.625668E+44  2.000000E+00
   896  9.62293661  0.13928E-04   0.61178   3.78968   7.31510   2.80668   0.00000   0.00000  0.00000  0.00000   2.44437  0.553E+00  0.411E+00  0.000E+00 -0.108E-02  0.1079  5.8369  0.0000   1.7774  4.0282  1.230000  0.000E+00  6.11780E-01  0.00000E+00  0.00000E+00    6.51294  -99.00000  -99.00000  -99.00000  -99.00000        1.446443E-02    0.82869  3.176091E+44  2.000000E+00
   897  9.62324903  0.13262E-04   0.61214   3.78967   7.31517   2.80782   0.00000   0.00000  0.00000  0.00000   2.44437  0.552E+00  0.412E+00  0.000E+00 -0.106E-02  0.1078  5.8361  0.0000   1.7782  4.0278  1.230000  0.000E+00  6.12138E-01  0.00000E+00  0.00000E+00    6.51237  -99.00000  -99.00000  -99.00000  -99.00000        1.420386E-02    0.82888  3.170140E+44  2.000000E+00
   898  9.62355949  0.12627E-04   0.61249   3.78965   7.31525   2.80895   0.00000   0.00000  0.00000  0.00000   2.44437  0.551E+00  0.413E+00  0.000E+00 -0.106E-02  0.1077  5.8353  0.0000   1.7792  4.0273  1.230000  0.000E+00  6.12494E-01  0.00000E+00  0.00000E+00    6.51179  -99.00000  -99.00000  -99.00000  -99.00000        1.401951E-02    0.82904  3.164709E+44  2.000000E+00
   899  9.62386798  0.12022E-04   0.61285   3.78960   7.31533   2.81008   0.00000   0.00000  0.00000  0.00000   2.44437  0.550E+00  0.413E+00  0.000E+00 -0.107E-02  0.1077  5.8347  0.0000   1.7802  4.0268  1.230000  0.000E+00  6.12846E-01  0.00000E+00  0.00000E+00    6.51117  -99.00000  -99.00000  -99.00000  -99.00000        1.390732E-02    0.82914  3.160344E+44  2.000000E+00
   900  9.62417451  0.11447E-04   0.61320   3.78957   7.31540   2.81121   0.00000   0.00000  0.00000  0.00000   2.44437  0.549E+00  0.414E+00  0.000E+00 -0.106E-02  0.1076  5.8340  0.0000   1.7812  4.0263  1.230000  0.000E+00  6.13199E-01  0.00000E+00  0.00000E+00    6.51058  -99.00000  -99.00000  -99.00000  -99.00000        1.378850E-02    0.82927  3.155534E+44  2.000000E+00
   901  9.62447909  0.10899E-04   0.61355   3.78953   7.31548   2.81235   0.00000   0.00000  0.00000  0.00000   2.44437  0.548E+00  0.415E+00  0.000E+00 -0.106E-02  0.1076  5.8334  0.0000   1.7823  4.0258  1.230000  0.000E+00  6.13551E-01  0.00000E+00  0.00000E+00    6.50997  -99.00000  -99.00000  -99.00000  -99.00000        1.369045E-02    0.82939  3.150991E+44  2.000000E+00
   902  9.62478185  0.10377E-04   0.61390   3.78947   7.31555   2.81349   0.00000   0.00000  0.00000  0.00000   2.44437  0.548E+00  0.416E+00  0.000E+00 -0.105E-02  0.1075  5.8329  0.0000   1.7835  4.0252  1.230000  0.000E+00  6.13903E-01  0.00000E+00  0.00000E+00    6.50932  -99.00000  -99.00000  -99.00000  -99.00000        1.363330E-02    0.82945  3.147441E+44  2.000000E+00
