#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
    25  2.14138613  0.72514E+00   2.32363   3.59589   5.52056  -3.32774   0.00000   0.00000  0.00000  0.00000   0.00000  0.289E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5206  2.4458  31.1382  1.5411  1.230000  0.000E+00  2.32363E+00  0.00000E+00  0.00000E+00    3.55757  -99.00000   15.36749   38.04424   40.33519        1.988610E+00    0.00000  1.564488E+47  2.000000E+00
    26  2.32858619  0.72514E+00   2.30774   3.59681   5.52970  -3.30066   0.00000   0.00000  0.00000  0.00000   0.00000  0.462E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5297  2.4458  30.4452  1.5607  1.230000  0.000E+00  2.30774E+00  0.00000E+00  0.00000E+00    3.58324  -99.00000   15.21418   37.72265   40.01164        1.982953E+00    0.00000  1.595119E+47  2.000000E+00
    27  2.46520194  0.72514E+00   2.29185   3.59770   5.53880  -3.27368   0.00000   0.00000  0.00000  0.00000   0.00000  0.736E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5388  2.4458  29.7700  1.5802  1.230000  0.000E+00  2.29185E+00  0.00000E+00  0.00000E+00    3.60886  -99.00000   15.02607   37.32824   39.61482        1.977628E+00    0.00000  1.626290E+47  2.000000E+00
    28  2.57448690  0.72514E+00   2.27810   3.59918   5.54794  -3.24657   0.00000   0.00000  0.00000  0.00000   0.00000  0.117E-10  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5479  2.4458  29.1039  1.5998  1.230000  0.000E+00  2.27810E+00  0.00000E+00  0.00000E+00    3.63245  -99.00000   14.83995   36.93820   39.22236        1.969018E+00    0.00000  1.658344E+47  2.000000E+00
    29  2.66602484  0.72514E+00   2.26221   3.60006   5.55703  -3.21957   0.00000   0.00000  0.00000  0.00000   0.00000  0.185E-10  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5570  2.4458  28.4602  1.6193  1.230000  0.000E+00  2.26221E+00  0.00000E+00  0.00000E+00    3.65805  -99.00000   14.65410   36.54896   38.83069        1.963836E+00    0.00000  1.690934E+47  2.000000E+00
    30  2.74599726  0.72514E+00   2.24609   3.60091   5.56615  -3.19249   0.00000   0.00000  0.00000  0.00000   0.00000  0.292E-10  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5661  2.4458  27.8286  1.6388  1.230000  0.000E+00  2.24609E+00  0.00000E+00  0.00000E+00    3.68392  -99.00000   14.47036   36.16434   38.44366        1.959095E+00    0.00000  1.724379E+47  2.000000E+00
    31  2.81735614  0.72514E+00   2.23222   3.60236   5.57531  -3.16523   0.00000   0.00000  0.00000  0.00000   0.00000  0.460E-10  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5753  2.4458  27.2056  1.6584  1.230000  0.000E+00  2.23222E+00  0.00000E+00  0.00000E+00    3.70762  -99.00000   14.28721   35.78117   38.05806        1.950539E+00    0.00000  1.758813E+47  2.000000E+00
    32  2.88170620  0.72514E+00   2.21624   3.60322   5.58443  -3.13814   0.00000   0.00000  0.00000  0.00000   0.00000  0.725E-10  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5844  2.4458  26.6030  1.6779  1.230000  0.000E+00  2.21624E+00  0.00000E+00  0.00000E+00    3.73332  -99.00000   14.10406   35.39822   37.67266        1.945824E+00    0.00000  1.793800E+47  2.000000E+00
    33  2.94106754  0.72514E+00   2.20233   3.60467   5.59361  -3.11083   0.00000   0.00000  0.00000  0.00000   0.00000  0.114E-09  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5936  2.4458  26.0072  1.6975  1.230000  0.000E+00  2.20233E+00  0.00000E+00  0.00000E+00    3.75707  -99.00000   13.92314   35.02017   37.29218        1.937413E+00    0.00000  1.829887E+47  2.000000E+00
    34  2.99602277  0.72514E+00   2.18623   3.60551   5.60275  -3.08364   0.00000   0.00000  0.00000  0.00000   0.00000  0.178E-09  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6027  2.4458  25.4302  1.7170  1.230000  0.000E+00  2.18623E+00  0.00000E+00  0.00000E+00    3.78292  -99.00000   13.74195   34.64174   36.91131        1.932863E+00    0.00000  1.866581E+47  2.000000E+00
    35  3.04771852  0.72514E+00   2.17013   3.60636   5.61191  -3.05634   0.00000   0.00000  0.00000  0.00000   0.00000  0.279E-09  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6119  2.4458  24.8658  1.7365  1.230000  0.000E+00  2.17013E+00  0.00000E+00  0.00000E+00    3.80876  -99.00000   13.56270   34.26759   36.53473        1.927901E+00    0.00000  1.904241E+47  2.000000E+00
    36  3.09663290  0.72514E+00   2.15601   3.60777   5.62113  -3.02887   0.00000   0.00000  0.00000  0.00000   0.00000  0.436E-09  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6211  2.4458  24.3071  1.7563  1.230000  0.000E+00  2.15601E+00  0.00000E+00  0.00000E+00    3.83275  -99.00000   13.38407   33.89493   36.15962        1.920442E+00    0.00000  1.942949E+47  2.000000E+00
    37  3.14280310  0.72514E+00   2.13984   3.60858   5.63028  -3.00159   0.00000   0.00000  0.00000  0.00000   0.00000  0.679E-09  0.000E+00  0.000E+00  0.100E+01  0.2610  5.6303  2.4458  23.7692  1.7757  1.230000  0.000E+00  2.13984E+00  0.00000E+00  0.00000E+00    3.85865  -99.00000   13.20545   33.52249   35.78471        1.915619E+00    0.00000  1.982303E+47  2.000000E+00
